eid	filename	class_mark	sort_class_mark
122926	MS-DAR-00003-000-00230.jpg	DAR 3: 282av	DAR 00003: 00282AV
122337	MS-DAR-00003-000-00231.jpg	DAR 3: 282r	DAR 00003: 00282R
122925	MS-DAR-00003-000-00232.jpg	DAR 3: 282v	DAR 00003: 00282V
122338	MS-DAR-00003-000-00233.jpg	DAR 3: 283r	DAR 00003: 00283R
122927	MS-DAR-00003-000-00234.jpg	DAR 3: 283v	DAR 00003: 00283V
122339	MS-DAR-00003-000-00235.jpg	DAR 3: 284ar	DAR 00003: 00284AR
122929	MS-DAR-00003-000-00236.jpg	DAR 3: 284av	DAR 00003: 00284AV
122340	MS-DAR-00003-000-00237.jpg	DAR 3: 284r	DAR 00003: 00284R
122928	MS-DAR-00003-000-00238.jpg	DAR 3: 284v	DAR 00003: 00284V
122341	MS-DAR-00003-000-00239.jpg	DAR 3: 285r	DAR 00003: 00285R
122930	MS-DAR-00003-000-00240.jpg	DAR 3: 285v	DAR 00003: 00285V
122342	MS-DAR-00003-000-00241.jpg	DAR 3: 285ar	DAR 00003: 00285_zAR
122931	MS-DAR-00003-000-00242.jpg	DAR 3: 285av	DAR 00003: 00285_zAV
122343	MS-DAR-00003-000-00243.jpg	DAR 3: 286ar	DAR 00003: 00286AR
122933	MS-DAR-00003-000-00244.jpg	DAR 3: 286av	DAR 00003: 00286AV
122344	MS-DAR-00003-000-00245.jpg	DAR 3: 286r	DAR 00003: 00286R
122932	MS-DAR-00003-000-00246.jpg	DAR 3: 286v	DAR 00003: 00286V
122345	MS-DAR-00003-000-00247.jpg	DAR 3: 287r	DAR 00003: 00287R
122934	MS-DAR-00003-000-00248.jpg	DAR 3: 287v	DAR 00003: 00287V
122346	MS-DAR-00003-000-00249.jpg	DAR 3: 288r	DAR 00003: 00288R
122935	MS-DAR-00003-000-00250.jpg	DAR 3: 288v	DAR 00003: 00288V
122347	MS-DAR-00003-000-00251.jpg	DAR 3: 289r	DAR 00003: 00289R
122936	MS-DAR-00003-000-00252.jpg	DAR 3: 289v	DAR 00003: 00289V
122348	MS-DAR-00003-000-00253.jpg	DAR 3: 290ar	DAR 00003: 00290AR
122938	MS-DAR-00003-000-00254.jpg	DAR 3: 290av	DAR 00003: 00290AV
122349	MS-DAR-00003-000-00255.jpg	DAR 3: 290r	DAR 00003: 00290R
122937	MS-DAR-00003-000-00256.jpg	DAR 3: 290v	DAR 00003: 00290V
122350	MS-DAR-00003-000-00257.jpg	DAR 3: 291ar	DAR 00003: 00291AR
122941	MS-DAR-00003-000-00258.jpg	DAR 3: 291av	DAR 00003: 00291AV
122351	MS-DAR-00003-000-00259.jpg	DAR 3: 291r	DAR 00003: 00291R
122939	MS-DAR-00003-000-00260.jpg	DAR 3: 291v	DAR 00003: 00291V
122352	MS-DAR-00003-000-00261.jpg	DAR 3: 291Ar	DAR 00003: 00291_zAR
122940	MS-DAR-00003-000-00262.jpg	DAR 3: 291Av	DAR 00003: 00291_zAV
122353	MS-DAR-00003-000-00263.jpg	DAR 3: 292r	DAR 00003: 00292R
122942	MS-DAR-00003-000-00264.jpg	DAR 3: 292v	DAR 00003: 00292V
122354	MS-DAR-00003-000-00265.jpg	DAR 3: 292ar	DAR 00003: 00292_zAR
122943	MS-DAR-00003-000-00266.jpg	DAR 3: 292av	DAR 00003: 00292_zAV
122355	MS-DAR-00003-000-00267.jpg	DAR 3: 293ar	DAR 00003: 00293AR
122945	MS-DAR-00003-000-00268.jpg	DAR 3: 293av	DAR 00003: 00293AV
122356	MS-DAR-00003-000-00269.jpg	DAR 3: 293r	DAR 00003: 00293R
122944	MS-DAR-00003-000-00270.jpg	DAR 3: 293v	DAR 00003: 00293V
122357	MS-DAR-00003-000-00271.jpg	DAR 3: 294ar	DAR 00003: 00294AR
122947	MS-DAR-00003-000-00272.jpg	DAR 3: 294av	DAR 00003: 00294AV
122358	MS-DAR-00003-000-00273.jpg	DAR 3: 294r	DAR 00003: 00294R
122946	MS-DAR-00003-000-00274.jpg	DAR 3: 294v	DAR 00003: 00294V
122359	MS-DAR-00003-000-00275.jpg	DAR 3: 295ar	DAR 00003: 00295AR
122949	MS-DAR-00003-000-00276.jpg	DAR 3: 295av	DAR 00003: 00295AV
122360	MS-DAR-00003-000-00277.jpg	DAR 3: 295r	DAR 00003: 00295R
122948	MS-DAR-00003-000-00278.jpg	DAR 3: 295v	DAR 00003: 00295V
126524	MS-DAR-00003-000-00279.jpg	DAR 3: 296av	DAR 00003: 00296_zAV
126523	MS-DAR-00003-000-00280.jpg	DAR 3: 296ar	DAR 00003: 00296_zAR
122361	MS-DAR-00003-000-00281.jpg	DAR 3: 296r	DAR 00003: 00296R
122950	MS-DAR-00003-000-00282.jpg	DAR 3: 296v	DAR 00003: 00296V
122362	MS-DAR-00003-000-00283.jpg	DAR 3: 297r	DAR 00003: 00297R
122951	MS-DAR-00003-000-00284.jpg	DAR 3: 297v	DAR 00003: 00297V
122363	MS-DAR-00003-000-00285.jpg	DAR 3: 298ar	DAR 00003: 00298AR
122953	MS-DAR-00003-000-00286.jpg	DAR 3: 298av	DAR 00003: 00298AV
122364	MS-DAR-00003-000-00287.jpg	DAR 3: 298r	DAR 00003: 00298R
122952	MS-DAR-00003-000-00288.jpg	DAR 3: 298v	DAR 00003: 00298V
122365	MS-DAR-00003-000-00289.jpg	DAR 3: 299r	DAR 00003: 00299R
122954	MS-DAR-00003-000-00290.jpg	DAR 3: 299v	DAR 00003: 00299V
122366	MS-DAR-00003-000-00291.jpg	DAR 3: 300ar	DAR 00003: 00300AR
122956	MS-DAR-00003-000-00292.jpg	DAR 3: 300av	DAR 00003: 00300AV
122367	MS-DAR-00003-000-00293.jpg	DAR 3: 300r	DAR 00003: 00300R
122955	MS-DAR-00003-000-00294.jpg	DAR 3: 300v	DAR 00003: 00300V
122369	MS-DAR-00003-000-00295.jpg	DAR 3: 301r	DAR 00003: 00301R
122957	MS-DAR-00003-000-00296.jpg	DAR 3: 301v	DAR 00003: 00301V
122368	MS-DAR-00003-000-00297.jpg	DAR 3: 301ar	DAR 00003: 00301z_AR
122958	MS-DAR-00003-000-00298.jpg	DAR 3: 301av	DAR 00003: 00301z_AV
